frame,track_id,class,x,y,w,h
10,1,0,1377.444468574997,274.8833209656477,216.2833000280474,632.8196233595759
10,2,56,152.99971160727006,282.5997608194532,187.66374481856843,361.08434433113547
10,3,60,0.22203738938129902,403.86662001804814,142.22205728308026,330.39035281746936
15,1,0,1379.6010680421218,274.52054981861164,215.36405398759047,633.2178873859697
15,2,0,153.22416743623162,282.50099643467524,187.57351977068265,360.97743340737907
15,3,60,0.13903377201840783,404.49257804425304,142.19193814371755,330.33193501472056
20,1,0,1377.5373333881628,274.5313659435589,214.0399089087182,633.215724803929
20,2,56,153.21111452041353,282.90690551553956,187.40878344532416,360.86212372716284
20,3,60,-0.4750162244827578,404.4340373281823,141.9449438004738,329.95128658415865
25,1,0,1376.1185707020143,275.2053245456556,211.41344183188474,630.0954593749044
25,2,56,153.26942333747664,283.2194794337456,187.2028568313446,360.64107184383215
25,3,60,-0.23451537624777075,404.4870010236612,141.20550243631538,328.2934386926837
30,1,0,1376.0411884645082,275.668241199414,207.69683775468053,624.4299836776671
30,2,56,154.0568631188336,285.2594951536963,186.23271046317075,358.8030170039919
30,3,60,0.14133616170335017,404.4939383644502,140.70343329651965,327.07781758609457
35,1,0,1373.9065570571577,275.7265430506561,204.79637231401045,621.9156038695178
35,2,56,153.76126597531933,283.9543984056069,186.78261689644557,360.1855330443258
35,3,60,0.16008007391579326,404.4261359295462,140.45623057750026,326.50430060102383
40,1,0,1370.5171552916618,274.8083397348324,202.57523435470847,621.4798525442983
40,2,56,154.10441129590077,285.33207611978213,186.32719446788755,359.311089004966
40,3,60,0.24955451596360945,404.25554910122463,140.72936769100917,327.09667865480253
45,1,0,1366.7333832415131,274.3129103131502,200.20718686154484,619.790301542229
45,2,56,154.27640383780295,285.7868016844898,186.0374349926445,358.76926089976376
45,3,60,-0.003907245333977016,404.3707941570821,141.04585193518258,327.9510732847265
50,1,0,1361.9260023727377,274.3606739152627,200.3702876485568,625.3958397123571
50,2,56,154.18758599411905,286.8587338209399,185.5621446980435,357.736349305051
50,3,60,-0.15281307038463865,404.517598171675,141.19732569491325,328.4621436592633
55,1,0,1356.8425546118858,274.48417942269725,199.15706821089785,625.6338194876369
55,2,56,154.00081034816407,285.08905294387466,186.3155458539028,359.6116751904907
55,3,60,0.4535049678841574,404.74941896118156,140.88152823656046,327.4772694310926
60,1,0,1351.1885658259926,274.84984952487207,198.25947872776857,625.3293920316612
60,2,56,154.44094233750133,284.76102426664215,185.65597049814508,358.5694812274614
60,3,60,0.3850993191452119,404.6478875604506,141.24611069687126,328.2577916629055
65,1,0,1344.1269657402631,275.7595438626024,197.7881462375688,625.6671870483394
65,2,56,154.07668081214734,286.54351003144683,185.2837459623981,357.68772373387696
65,3,60,-0.11584636994679443,404.52465738274225,141.50563021413782,329.1145669141895
70,1,0,1334.2546540840071,276.2684054264485,198.29850147414186,625.4893914980556
70,2,56,153.62562887579713,285.1205716498965,185.26585200939724,357.80802017446024
70,3,60,-0.29733694985588954,404.29781257517925,141.1323107012211,328.4990190150872
75,1,0,1318.9676641105784,276.66536567072495,199.78821239761118,622.0077861901433
75,2,56,153.6938823530881,288.47697289208804,184.34418746508632,355.5760552538214
75,3,60,-0.26885695402881993,404.1160636485083,140.81592373715915,327.94833795283444
80,1,0,1300.020764315506,275.834747567296,202.91244884754397,619.6372290996168
80,2,56,153.1301199158136,287.17105921943596,185.11988376937387,357.2117142257833
80,3,60,-0.26639305276438563,404.15075983946997,140.62887386490604,327.70771413450757
85,1,0,1279.2971354130145,275.8717339915749,207.20832159640148,614.7947587003069
85,2,56,153.0409296050015,286.0609919428922,185.50387646636514,358.18439040869475
85,3,60,-0.4802385284734072,404.3070812271872,140.84271452752213,328.56185372872994
90,1,0,1262.1738917465027,277.5316563770098,211.752022612231,608.1569825087089
90,2,56,153.059852630292,286.1819739759792,185.41026591752268,358.2392442616728
90,3,60,-0.6737035000697631,404.4754075556482,140.85660200697373,329.03754552240883
95,1,0,1243.6931731360978,278.58866560256774,217.43494421337311,603.312037392312
95,2,56,152.68222468122826,287.76065198029926,184.84859666244242,357.18545323143786
95,3,60,-0.10976992156466281,404.20793859778195,140.03116074447692,327.0783132838395
100,1,0,1227.343959521608,282.05639053277207,223.19709224954926,597.3699016753517
100,2,56,152.4939297641236,288.0313872143297,184.7377447329887,357.0270960551198
100,3,60,0.18376673870743332,404.28635392549154,139.6848479994882,326.184939916731
105,1,0,1216.5891051830038,283.28389758293514,229.30026141810256,593.4267299985394
105,2,56,152.04158062660818,289.61237201633276,183.91183115223998,355.02073857547515
105,3,60,2.5975147842054582,405.2634006840639,134.34345823558158,311.78712624841876
110,1,0,1210.9379309913431,283.72347305098253,235.05198210796078,589.727846205124
110,2,56,152.94179519773513,289.77631387251313,183.7724985999499,354.79639089430543
110,3,60,4.3188594347627,405.36297643040405,131.4089168414083,302.4966310249995
115,1,0,1207.9775309035717,284.5938562276354,240.8405519263255,587.7329467380188
115,2,56,153.9956601268907,288.93604048763643,184.1074398752611,355.59158970421873
115,3,60,1.5978790550817479,404.41384429359505,138.52916301583156,318.96534681823704
120,1,0,1206.1763142855434,286.4520080390136,245.5453749123286,584.8927512354898
120,2,56,154.2071496616618,289.86469583131117,184.1099347611569,354.923427252896
120,3,60,0.28700220078566474,405.9540858552058,142.3817291573016,328.1408667617793
125,1,0,1202.1837058857104,287.1121469666026,250.15848549799813,584.4192382428448
125,2,56,154.17088894403395,290.14424665247583,184.53815287409745,355.1966228232816
125,3,60,0.2688112278571708,406.97700207537054,144.0367635264745,331.90809243430056
130,1,0,1195.5297770753605,286.02662960857225,253.4183202513286,584.8696381761853
130,2,56,153.50976109370936,289.6425957752042,185.42517853741057,356.31256455873205
130,3,60,0.40007458195213985,408.0230398239265,145.5390363713777,335.2269967245472
135,1,0,1189.945891128002,286.2560427155834,257.42668559338927,589.7818957793673
135,2,56,153.00687481604547,289.58592469283485,186.3054766264955,357.81485982831833
135,3,60,0.3429024714615423,408.6450753184435,146.24659183584274,336.78802167268407
140,1,0,1185.6709508668177,285.8043701153418,257.695705436732,587.7527133160423
140,2,56,153.03450252880904,289.6549867719149,186.40192078197396,357.68399734845264
140,3,60,0.29824366738213826,408.6951383653153,146.66094760551755,337.7003782211223
140,5,62,0.5806694396866021,21.784914184445853,269.9296201839886,319.76126840168916
145,1,0,1178.5526366666343,288.55124506315997,256.22575625430846,586.4301489075772
145,2,56,153.37450162621593,289.9939051655904,186.6102423800502,357.7855967836652
145,3,60,0.5228511838019045,409.55891788284526,146.68961456851508,337.5353637586676
145,5,62,0.7837915292577975,22.312958697256448,269.79276378142305,319.57799654199573
150,1,0,1172.448508525732,288.5260569981905,252.22765843443636,582.5608546562903
150,2,56,153.6528429892803,290.6203205189436,186.1099862942056,356.65429265451706
150,3,60,0.3858023840863183,411.5701303601927,145.48843603234013,334.70838474642716
150,5,62,0.3657634664012619,22.31386889789897,269.66097568329667,319.4790537282192
155,1,0,1165.2349856011924,286.6275791914736,249.20191237762248,584.8572153155201
155,2,56,153.73689576241117,291.1587187048657,186.0640054485131,356.2780746011044
155,3,60,0.4270543686561581,412.34058392813745,144.8193925687885,333.0416237508776
155,5,62,0.03554177127205094,22.52703748813795,269.69402229823896,319.6119008473312
160,1,0,1158.8145886479278,284.4510518026079,241.72993668310508,582.4831453633652
160,2,56,153.37789400152906,291.57860046045175,186.00549237016077,355.84635634611067
160,3,60,0.2171402654322918,412.1305637811315,144.35493996318615,332.0025893093147
160,5,62,-0.04225761276609319,22.929580465134222,269.5074079246781,319.4941139046427
165,1,0,1153.8229744621792,282.70906926334624,229.07630803278985,569.5054857580017
165,2,56,153.00760964079927,291.45191582975207,186.31647128228246,356.0924021736299
165,3,60,-0.09391054230276552,411.67815528289316,144.16315288756462,331.76963231652394
165,5,62,-0.1700260267435567,23.15193637523447,269.4633171540964,319.4418460867841
170,1,0,1145.1805750949202,280.1924934038686,225.1648491638067,578.1718146614434
170,2,56,152.8151791741424,291.32611437238097,186.5660395925343,356.0878394940333
170,3,60,-0.32576836857722924,411.3392923358047,144.28762540296194,332.3586679997221
170,5,62,-0.2977944408119697,23.374292285334718,269.4192263836966,319.3895782689255
175,1,0,1136.7687111864284,277.6759820537102,223.77969607218378,592.8523424667051
175,2,56,152.7696980896544,291.54967376564,186.83159293181455,356.25164834667964
175,3,60,-0.35262330853068136,410.86831274991556,144.1338739132307,332.2536077039575
175,5,62,-0.42556285497133217,23.596648195434966,269.3751356134787,319.3373104510669
180,1,0,1129.6616501773146,275.3643355581395,218.5265066360174,595.4155281445171
180,2,56,152.79039619910708,291.75057160860524,187.19819780689934,356.6859533443636
180,3,60,-0.3482862571400176,410.3816450422091,143.99961313948057,332.18130315451333
180,5,62,-0.5533312692216157,23.819004105535214,269.3310448434426,319.2850426332083
185,1,0,1123.9435361987357,274.96204457099975,215.7870057135368,592.4750190052991
185,2,56,153.1497437212176,291.4210404931855,187.38597160505344,356.7785069077153
185,3,60,-0.36671615812380765,409.9011318666338,144.00295454404528,332.42996341642447
185,5,62,-0.6810996835628487,24.041360015635462,269.28695407358845,319.2327748153497
190,1,0,1104.3737382691413,272.094046772706,220.23779481355163,601.7529138866342
190,2,56,153.75197312321575,291.1888768509816,187.36561261975513,356.51933466143765
190,3,60,-0.4234093850520253,408.69046483867,144.04648118601986,332.85183021298707
190,5,62,-0.8088680979950027,24.26371592573571,269.2428633039161,319.18050699749114
195,1,0,1085.7440793606602,272.6547940454034,223.11202026340712,602.9370737594704
195,2,56,153.7243346830082,291.11319475965246,187.24479895213193,356.29830232046186
195,3,60,-0.2418268170290645,409.656310224021,142.8466391980774,330.1775238716635
195,5,62,-0.9366365125181062,24.486071835835958,269.1987725344257,319.12823917963254
200,1,0,1067.141893541759,274.53826859840404,227.06429398678134,603.309534945459
200,2,56,153.57748337493885,290.9539265288065,187.26104817715412,356.3212886111461
200,3,60,-0.31938667071592874,409.9096174002344,142.55254071577738,329.72557759557503
200,5,62,-1.0644049271321592,24.708427745936206,269.1546817651172,319.07597136177395
205,1,0,1052.2363777745747,274.6341870236629,231.30915230395786,602.2753969256742
205,2,56,153.43813848969126,291.10950882526294,187.24890635880266,356.3272737726137
205,3,60,-0.48863186648482326,408.5919052813832,142.78784674468423,330.6484265735064
205,5,62,-1.1921733418371332,24.930783656036454,269.1105909959905,319.02370354391536
210,1,0,1038.948342285207,274.85586600796165,235.22297073249902,601.0904497408147
210,2,56,153.4191293996314,291.3693802308703,187.27666056211282,356.4651130711364
210,3,60,-0.37711990252991257,408.500044574958,142.75871640464834,330.8250042074608
210,5,62,-1.3199417566330567,25.1531395661367,269.0665002270457,318.97143572605677
215,1,0,1030.1181845109159,273.8783128112267,239.81651370644934,603.0928881658288
215,2,56,153.3446221362195,291.48823291037843,187.25224671077154,356.3869905099433
215,3,60,-0.1899227910116963,408.38608865990614,142.59376469972074,330.5753409749063
215,5,62,-1.4477101715199012,25.37549547623695,269.02240945828277,318.9191679081982
220,1,0,1024.7231198078039,273.2520199023889,243.2254407124563,602.180947146362
220,2,56,153.4685957479747,291.535506805865,187.2126175192298,356.2533125455021
220,3,60,-0.06385246641058018,409.66659735731355,141.92005168967856,329.05236454166896
220,5,62,-1.5754785864977237,25.597851386337197,268.9783186897018,318.8669000903396
225,1,0,1020.0888518579525,270.75221126407297,247.94289831151679,606.1707970628739
225,2,56,153.37403481972297,291.354385561504,187.2738957954172,356.3094997161371
225,3,60,-0.00940798573748225,409.69184831677273,141.86754831883047,328.96638747441807
225,5,62,-1.7032470015664387,25.820207296437445,268.9342279213026,318.814632272481
230,1,0,1015.4381329405142,268.03577843405304,251.97589104856107,610.750752686382
230,2,56,153.34987951336703,291.3843550693076,187.31777633708373,356.2424134355028
230,3,60,0.799745781726628,409.7007051919737,140.5962271076696,325.4382506865149
230,5,62,-1.8310154167261317,26.042563206537693,268.89013715308533,318.7623644546224
235,1,0,1011.3659048741052,266.2681771581491,254.22762493035893,613.5123292419837
235,2,56,153.4605359574982,291.5782330367141,187.22355542204411,355.8699775943291
235,3,60,0.41065725253193364,409.9242556526359,141.59513591754498,327.7083375533311
235,5,62,-1.9587838319767172,26.26491911663794,268.8460463850499,318.7100966367638
240,1,0,1006.1356247769666,263.42073845532053,255.29751747040282,616.6127831829489
240,2,56,152.96136196152804,291.33584767434456,187.44685915120598,356.18392682251493
240,3,60,0.17707783590569193,408.9418574813603,142.06726270974147,328.88420052357094
240,5,62,-2.0865522473182807,26.48727502673819,268.80195561719637,318.6578288189052
245,1,0,1000.0621329998426,260.7631371899889,252.94459617597067,614.2617662551129
245,2,56,152.2968658350767,291.36660443482583,187.83087182003757,356.8230969935156
245,3,60,-0.07479964941376238,408.7640209986923,142.22188379278492,329.45190147249434
245,5,62,-2.2143206627507652,26.709630936838437,268.7578648495247,318.6055610010466
250,1,0,992.4540960320942,258.2775853522132,248.43978845905522,611.1465913603248
250,2,56,152.27832406792334,291.5175121455332,187.82600937179976,356.61373428972433
250,3,60,-0.1061121716330291,408.46239815493254,142.38992777741495,330.000066170078
250,5,62,-2.342089078274199,26.931986846938685,268.71377408203494,318.55329318318803
255,1,0,987.1263988623115,256.3670068880992,242.4968367901313,607.7217493316899
255,2,56,152.44242927522356,291.6473626426026,187.7058552265829,356.3544669312075
255,3,60,-0.1934865233792351,408.40328839064534,142.4284121784043,330.3060270020803
255,5,62,-2.4698574938885542,27.154342757038933,268.669683314727,318.50102536532944
260,1,0,979.3745404402548,254.74679237743447,234.3114426593307,603.8614408703812
260,2,56,152.486853127995,291.79056244156766,187.73710832822675,356.29033972894615
260,3,60,-0.2669303703011394,408.2023378699263,142.59313247786912,330.93498568564473
260,5,62,-2.5976259095938588,27.37669866713918,268.625592547601,318.44875754747085
265,1,0,975.9771757444468,254.09205234128564,220.6936468578667,585.169625638191
265,2,56,152.77381347471683,291.8704311945901,187.6232669379463,355.8262387628046
265,3,60,-0.26093294240678233,409.53797500934525,142.18990159945534,330.1553370471902
265,5,62,-2.7253943253901127,27.59905457723943,268.5815017806569,318.39648972961226
270,1,0,968.1558345512888,255.17375967866906,214.5451241550649,585.3759258334151
270,2,56,152.85218629819627,291.8328862988938,187.80375066722345,356.02041755339155
270,3,60,0.757350038470662,410.26688217736626,140.41357734729092,325.3891226734709
270,5,62,-2.8531627412772878,27.821410487339676,268.5374110138946,318.34422191175366
275,1,0,957.7752973795647,255.10834964901971,211.55204772798865,593.5040237476167
275,2,56,153.5259561444813,292.0803633387235,187.83129215633096,356.14123832770866
275,3,60,0.36240932764457057,410.4864195755843,141.5148215789657,327.9301043981799
275,5,62,-2.9809311572554122,28.043766397439924,268.4933202473142,318.2919540938951
280,1,0,945.6430889434994,253.87133346085886,207.3725891568466,593.6708957820838
280,2,56,154.13747936563294,292.27168232105373,187.6118166341383,355.8520655945848
280,3,60,0.44862776473799215,410.72562330312604,141.97209484776113,328.80221184168806
280,5,62,-3.108699573324458,28.266122307540172,268.4492294809157,318.2396862760365
285,1,0,926.3056927391757,254.32537942678636,205.56087447040258,592.2871155943632
285,2,56,154.11799767076553,292.35975284875,187.74414545738682,355.982580897165
285,3,60,0.24462191954914658,409.65118875240125,142.87182250656957,330.92865979278196
285,5,62,-3.236467989484453,28.48847821764042,268.40513871469904,318.1874184581779
290,1,0,905.7714990713672,255.55346031782705,205.19856228230833,588.1422839045264
290,2,56,154.31618386620895,292.37069796197767,188.02127954864426,356.2964674872345
290,3,60,0.22725470222341926,409.2090577643347,143.4992038131308,332.38054926585
290,5,62,-3.3642364057353973,28.710834127740668,268.3610479486643,318.1351506403193
